Technology,Power Plant Name,Fuel Category,Primary Fuel,Region,Country,Total Capacity (MW),Active Capacity (MW),Pipeline Capacity (MW),Discontinued Capacity (MW),Status,Owner Name,Owner Stake (%)
Wind,0a06a6eaee,Onshore,,Asia-Pacific,Australia,275.4,,,,Active,Acme Oil & Gas Corporation,
Wind,6ec476fd7a,Onshore,,Europe,Germany,,1.87,,,Active,Acme Oil & Gas Corporation,
Wind,9ed2bf4347,Onshore,,Europe,Germany,21.056,,,21.056,Cancelled,Acme Oil & Gas Corporation,
Wind,3b5fa25e98,Onshore,,South and Central America,Brazil,,,,,Permitting,Acme Oil & Gas Corporation,0.01
Wind,365f68e616,Onshore,,South and Central America,Brazil,7.392,,7.392,,Permitting,Acme Oil & Gas Corporation,100
Wind,956101aaf2,Onshore,,South and Central America,Brazil,,,,,Under Construction,Acme Oil & Gas Corporation,0.01
Wind,6eb2532f97,Onshore,,Europe,Spain,16.7,,,,Active,Acme Oil & Gas Corporation,
Wind,0637e013b5,Onshore,,Asia-Pacific,India,2.163,2.163,,,Active,Acme Oil & Gas Corporation,
Wind,9.10E+59,Onshore,,Europe,Spain,16.1,16.1,,,Active,Acme Oil & Gas Corporation,
Wind,b82216e00a,Onshore,,Asia-Pacific,India,0.5925,0.5925,,,Active,Acme Oil & Gas Corporation,100
Wind,0e08727d74,Onshore,,Asia-Pacific,India,0.1475,0.1475,,,Active,Acme Oil & Gas Corporation,100
Wind,8dd2e674f3,Onshore,,Asia-Pacific,India,1.6875,1.6875,,,Active,Acme Oil & Gas Corporation,100
Wind,86c5f102d5,Onshore,,Asia-Pacific,Japan,,,,,Active,Acme Oil & Gas Corporation,10
Wind,e272dec90c,Onshore,,Asia-Pacific,India,181.545,,181.545,,Dormant,Acme Oil & Gas Corporation,
Wind,ad3e8f9229,Onshore,,Asia-Pacific,India,2.34,2.34,,,Active,Acme Oil & Gas Corporation,
Wind,3dc463de01,Onshore,,Asia-Pacific,India,3.57,,,,Active,Acme Oil & Gas Corporation,
Wind,0c72f56f1b,Onshore,,Europe,Belgium,17.88,,17.88,,Announced,Acme Oil & Gas Corporation,
Wind,5b735e85b7 project,Onshore,,North America,United States,0.5865,0.5865,,,Active,Acme Oil & Gas Corporation,
Wind,d4c5e612fc,Onshore,,Asia-Pacific,India,90.72,,,,Partially Active,Acme Oil & Gas Corporation,
Wind,8a074aad95,Onshore,,Europe,Russian Federation,15.36,,15.36,,Dormant,Acme Oil & Gas Corporation,
Wind,f4efaa4134,Onshore,,Europe,Germany,,,,,Partially Active,Acme Oil & Gas Corporation,
Wind,83172e70fe,Onshore,,Europe,Spain,18.36,18.36,,,Active,Acme Oil & Gas Corporation,100
Wind,d626991991,Onshore,,Asia-Pacific,India,0.1426,0.1426,,,Active,Acme Oil & Gas Corporation,100
Wind,b3e41c1c08,Onshore,,Asia-Pacific,India,2.025,2.025,,,Active,Acme Oil & Gas Corporation,100
Wind,a63133d6c2,Onshore,,Europe,Spain,60.12,60.12,,,Active,Acme Oil & Gas Corporation,
Wind,bf6f72ce54,Onshore,,Europe,Spain,11.8236,,11.8236,,Permitting,Acme Oil & Gas Corporation,
Wind,4ab3e450af,Onshore,,Asia-Pacific,India,0.2625,0.2625,,,Active,Acme Oil & Gas Corporation,100
Wind,16d42e39d8,Onshore,,Asia-Pacific,India,0.33,0.33,,,Active,Acme Oil & Gas Corporation,
Wind,45c2033b1b,Onshore,,North America,United States,148.074,148.074,,,Active,Acme Oil & Gas Corporation,
